buying,maint,doors,persons,lug_boot,safety,class
med,vhigh,5more,4,MED,high,acc
med,high,3,more,big,high,acc
high,vhigh,3,4,med,MED,UNACC
med,HIGH,3,MORE,small,med,unacc
med,low,5more,4,med,med,good
0,NaN,,0,0,0,NaN
,,NaN,,,NaN,
vhigh,low,5MORE,4,MED,high,ACC
HIGH,VHIGH,3,2,small,low,unacc
med,vhigh,4,2,MED,med,UNACC
,,,,,,
,NaN,,NaN,,0,0
high,VHIGH,5more,4,med,MED,unacc
low,high,4,more,BIG,high,vgood
med,MED,2,4,med,low,unacc
high,vhigh,4,2,big,LOW,UNACC
low,med,5more,2,MED,MED,unacc
LOW,MED,3,2,BIG,low,unacc
high,high,2,more,big,low,unacc
LOW,med,3,more,big,high,VGOOD
HIGH,vhigh,2,MORE,small,high,unacc
MED,low,3,4,med,HIGH,good
vhigh,vhigh,2,2,big,high,unacc
low,VHIGH,5more,more,big,high,acc
med,HIGH,3,more,med,high,acc
low,HIGH,2,2,BIG,med,unacc
MED,low,4,4,SMALL,high,good
high,high,3,MORE,med,med,acc
low,med,5MORE,2,med,low,UNACC
0,,0,0,0,NaN,NaN
NaN,,,,0,,NaN
MED,med,2,2,BIG,LOW,UNACC
HIGH,low,3,4,big,low,unacc
vhigh,low,5more,2,small,med,unacc
vhigh,vhigh,5more,more,SMALL,high,unacc
low,vhigh,4,2,med,low,unacc
,,,,,,
vhigh,vhigh,3,more,med,high,unacc
vhigh,vhigh,2,4,small,med,unacc
vhigh,MED,3,more,big,med,acc
MED,LOW,4,4,big,med,GOOD
high,high,4,4,med,high,acc
0,0,0,,0,0,0
NaN,,,,,NaN,NaN
low,vhigh,4,2,small,high,unacc
MED,vhigh,4,more,small,med,unacc
MED,VHIGH,2,MORE,MED,low,UNACC
HIGH,LOW,5MORE,more,big,med,acc
LOW,high,4,more,small,med,ACC
NaN,NaN,,0,,NaN,0
HIGH,low,5more,MORE,SMALL,HIGH,acc
0,,,0,,NaN,
low,vhigh,5more,more,small,LOW,UNACC
vhigh,high,5MORE,4,SMALL,low,UNACC
high,med,4,MORE,small,low,unacc
low,vhigh,2,4,MED,low,unacc
,,,,,,
vhigh,HIGH,2,2,big,med,unacc
vhigh,HIGH,4,more,big,high,unacc
low,low,4,4,small,high,good
med,low,5more,2,BIG,med,unacc
,,,,,,
low,high,4,4,MED,med,acc
high,high,3,more,MED,HIGH,acc
low,LOW,3,more,med,high,vgood
med,VHIGH,2,4,small,MED,UNACC
,0,0,NaN,NaN,0,NaN
0,,0,0,,,0
vhigh,med,5more,4,med,MED,ACC
MED,high,5more,4,big,med,acc
high,high,2,2,small,med,UNACC
high,high,4,2,small,high,unacc
LOW,vhigh,4,MORE,big,low,UNACC
vhigh,low,5MORE,more,BIG,high,acc
NaN,NaN,,0,0,0,NaN
NaN,,,,0,NaN,
med,vhigh,2,4,MED,med,unacc
med,MED,3,4,med,MED,acc
MED,vhigh,4,more,med,low,unacc
low,VHIGH,4,4,small,med,unacc
,,,,0,,NaN
low,VHIGH,5MORE,2,med,med,unacc
vhigh,low,4,4,big,med,ACC
high,vhigh,4,4,big,med,unacc
high,low,4,2,MED,low,unacc
VHIGH,med,5more,2,small,MED,unacc
med,VHIGH,2,MORE,small,HIGH,unacc
vhigh,low,2,4,med,low,unacc
med,med,3,4,small,med,ACC
high,high,4,2,SMALL,med,unacc
med,vhigh,5more,more,big,HIGH,ACC
low,vhigh,5more,4,med,low,unacc
low,VHIGH,3,4,big,HIGH,ACC
low,VHIGH,2,4,big,high,acc
HIGH,med,3,2,BIG,MED,unacc
,NaN,0,,,NaN,NaN
med,HIGH,2,more,big,med,acc
NaN,,,NaN,NaN,,
vhigh,low,3,4,big,HIGH,acc
low,MED,5more,more,med,high,VGOOD
LOW,high,5more,2,med,low,UNACC
med,VHIGH,2,2,BIG,high,unacc
low,low,4,4,med,med,good
HIGH,HIGH,5MORE,2,SMALL,low,unacc
vhigh,med,5more,2,small,LOW,unacc
med,high,3,2,BIG,med,unacc
med,high,5more,4,small,med,unacc
high,low,3,4,SMALL,MED,unacc
high,low,3,more,small,LOW,unacc
vhigh,LOW,2,more,big,MED,acc
vhigh,low,4,2,BIG,low,unacc
med,HIGH,5MORE,4,big,high,acc
high,MED,2,4,big,HIGH,acc
MED,VHIGH,4,more,med,high,acc
low,med,5more,2,small,MED,unacc
low,HIGH,2,4,SMALL,high,acc
LOW,vhigh,3,more,med,med,acc
med,high,4,4,small,LOW,unacc
med,vhigh,5more,2,big,med,unacc
high,vhigh,3,4,MED,LOW,unacc
med,low,5more,more,big,med,good
low,vhigh,3,more,small,low,unacc
MED,low,2,2,MED,low,unacc
high,vhigh,2,more,med,LOW,unacc
LOW,high,3,2,med,HIGH,unacc
MED,med,4,MORE,SMALL,low,UNACC
HIGH,high,4,2,big,high,unacc
MED,low,4,more,big,med,good
low,low,3,2,med,low,UNACC
med,med,2,2,med,low,unacc
low,HIGH,3,4,small,LOW,unacc
low,vhigh,5MORE,more,small,HIGH,acc
vhigh,low,2,2,big,MED,unacc
HIGH,VHIGH,5MORE,more,small,high,unacc
vhigh,MED,5more,more,MED,low,UNACC
high,vhigh,3,2,small,high,unacc
high,high,5MORE,2,med,HIGH,unacc
med,med,4,more,small,high,acc
vhigh,med,3,4,small,med,unacc
LOW,med,2,MORE,small,med,UNACC
vhigh,low,3,2,med,high,unacc
NaN,0,,0,0,,NaN
vhigh,high,2,4,BIG,high,unacc
vhigh,low,2,4,small,high,acc
vhigh,high,3,2,BIG,HIGH,UNACC
low,med,4,4,big,med,good
vhigh,med,5more,2,small,high,UNACC
vhigh,HIGH,3,4,SMALL,high,unacc
low,vhigh,5more,more,big,MED,ACC
vhigh,med,4,4,small,LOW,UNACC
vhigh,low,3,MORE,small,LOW,unacc
low,med,3,more,SMALL,high,good
high,VHIGH,5more,more,big,med,unacc
,,,,,,
,,,,,,
MED,high,4,4,med,low,unacc
,0,NaN,NaN,0,NaN,0
vhigh,med,2,more,med,med,UNACC
low,vhigh,3,4,small,low,UNACC
,,,,,,
med,low,2,MORE,SMALL,low,unacc
low,low,5more,2,med,HIGH,unacc
low,low,4,more,med,low,unacc
VHIGH,VHIGH,4,4,BIG,med,unacc
med,low,3,4,big,low,unacc
vhigh,high,3,more,small,med,unacc
low,high,3,2,MED,low,unacc
HIGH,high,3,MORE,BIG,med,acc
low,vhigh,4,2,small,MED,unacc
low,MED,3,more,big,low,unacc
med,MED,3,2,small,high,unacc
vhigh,VHIGH,3,2,small,MED,unacc
high,med,3,more,MED,med,acc
high,med,5more,4,SMALL,med,unacc
low,low,5more,more,med,med,good
HIGH,LOW,3,4,big,med,acc
low,vhigh,3,more,small,low,unacc
0,NaN,NaN,,0,0,
low,vhigh,3,4,small,high,acc
LOW,low,4,4,small,low,unacc
low,med,2,MORE,small,HIGH,UNACC
vhigh,VHIGH,2,more,med,high,unacc
MED,low,4,2,MED,low,unacc
high,high,5more,4,MED,low,unacc
med,low,2,4,small,high,good
low,vhigh,4,MORE,SMALL,low,UNACC
HIGH,med,4,more,big,med,ACC
vhigh,low,3,4,BIG,med,acc
MED,VHIGH,5more,more,big,MED,acc
vhigh,high,5more,4,med,low,UNACC
med,vhigh,4,more,med,MED,acc
low,MED,3,2,MED,high,unacc
,,,,,,
high,med,3,more,big,HIGH,acc
vhigh,VHIGH,2,MORE,med,low,UNACC
high,med,5more,MORE,big,low,UNACC
high,med,3,2,small,med,unacc
high,high,5more,MORE,BIG,low,unacc
HIGH,VHIGH,5more,2,small,med,unacc
med,low,4,2,med,high,unacc
low,high,4,4,small,high,acc
vhigh,low,2,4,small,med,unacc
med,LOW,4,more,med,high,VGOOD
high,med,4,4,big,med,acc
vhigh,med,4,4,MED,HIGH,acc
LOW,med,3,2,med,low,unacc
med,low,5more,4,BIG,med,good
high,low,4,MORE,MED,low,unacc
,,NaN,,NaN,0,NaN
HIGH,high,3,4,small,med,unacc
high,med,4,4,small,HIGH,acc
high,MED,2,4,BIG,low,UNACC
,,,,,,
vhigh,vhigh,2,4,big,HIGH,unacc
low,med,2,2,big,high,UNACC
high,vhigh,5MORE,more,med,low,UNACC
high,VHIGH,5more,2,med,high,unacc
high,VHIGH,4,2,SMALL,low,unacc
vhigh,high,3,MORE,BIG,MED,unacc
low,MED,2,4,small,high,good
med,med,2,4,big,HIGH,vgood
,NaN,NaN,NaN,,,
low,low,5MORE,4,BIG,low,unacc
NaN,,NaN,,0,NaN,NaN
vhigh,high,4,4,med,med,unacc
,,,,,,
vhigh,vhigh,5more,2,SMALL,HIGH,unacc
med,HIGH,2,4,small,low,unacc
med,vhigh,2,4,small,HIGH,ACC
MED,low,4,4,SMALL,high,good
low,MED,2,MORE,big,LOW,UNACC
,,,,,,
high,vhigh,3,2,med,low,unacc
high,vhigh,4,4,big,HIGH,unacc
NaN,0,,,NaN,NaN,0
LOW,low,4,4,BIG,high,vgood
vhigh,vhigh,5more,4,small,high,unacc
low,VHIGH,2,4,SMALL,LOW,unacc
high,high,3,more,big,low,unacc
high,HIGH,3,2,BIG,med,UNACC
,,,,,,
,NaN,NaN,NaN,NaN,,NaN
low,low,4,2,small,LOW,unacc
HIGH,high,5more,4,big,low,unacc
HIGH,MED,4,2,med,LOW,UNACC
med,VHIGH,3,4,big,med,acc
high,low,3,more,med,high,acc
med,high,2,4,BIG,high,acc
low,low,5more,2,big,LOW,unacc
HIGH,med,4,4,big,low,UNACC
HIGH,med,3,2,small,high,unacc
vhigh,med,3,more,big,low,unacc
high,VHIGH,5more,more,med,high,unacc
vhigh,MED,4,more,SMALL,low,unacc
high,HIGH,5more,4,small,high,acc
,0,NaN,,,,0
med,low,3,more,big,med,GOOD
MED,vhigh,5more,2,SMALL,high,unacc
vhigh,high,4,more,SMALL,med,UNACC
vhigh,MED,3,MORE,med,low,unacc
low,med,2,4,small,med,acc
high,low,3,more,BIG,low,unacc
,,,,,,
VHIGH,high,3,2,big,LOW,UNACC
VHIGH,low,3,4,small,high,acc
,NaN,0,,NaN,0,NaN
HIGH,low,4,4,SMALL,HIGH,ACC
med,high,3,4,small,MED,unacc
high,low,4,more,med,med,ACC
MED,HIGH,5MORE,2,BIG,low,unacc
high,HIGH,4,4,MED,low,unacc
vhigh,vhigh,2,4,big,MED,unacc
med,LOW,2,4,small,med,acc
high,low,4,more,small,high,acc
high,high,5more,more,med,LOW,unacc
VHIGH,high,2,4,small,low,unacc
med,low,3,2,SMALL,high,unacc
low,vhigh,2,more,big,high,acc
0,,NaN,NaN,NaN,NaN,NaN
med,MED,4,2,med,low,UNACC
med,LOW,5more,4,small,med,acc
high,med,2,2,med,low,unacc
low,vhigh,3,2,big,MED,unacc
MED,HIGH,3,2,small,low,unacc
low,low,2,2,big,low,UNACC
low,high,3,more,med,MED,acc
med,HIGH,4,2,big,med,unacc
vhigh,HIGH,5more,2,big,med,UNACC
low,VHIGH,3,more,med,HIGH,acc
low,HIGH,5more,more,med,low,unacc
high,high,3,4,BIG,high,ACC
high,med,3,2,small,LOW,unacc
vhigh,VHIGH,3,more,big,med,unacc
HIGH,vhigh,2,4,small,med,UNACC
MED,low,2,4,big,high,vgood
vhigh,VHIGH,3,2,BIG,LOW,unacc
med,med,2,4,big,med,acc
low,VHIGH,2,more,big,low,unacc
med,low,3,more,small,MED,acc
VHIGH,low,5MORE,more,MED,low,UNACC
vhigh,high,5more,more,small,high,unacc
LOW,high,4,4,med,low,unacc
,0,0,NaN,0,NaN,NaN
vhigh,high,4,2,med,med,unacc
med,high,4,2,big,low,unacc
vhigh,high,5more,more,BIG,high,unacc
low,med,5MORE,4,big,high,vgood
high,HIGH,4,4,big,high,acc
vhigh,vhigh,4,2,med,high,unacc
high,med,3,more,big,med,ACC
low,med,4,more,big,high,vgood
vhigh,low,2,4,small,low,unacc
high,med,4,2,SMALL,high,unacc
MED,med,5more,more,MED,low,unacc
HIGH,LOW,3,more,small,high,acc
0,NaN,,,NaN,0,0
,,,,,,
low,low,4,more,med,med,good
med,high,3,MORE,med,low,unacc
vhigh,high,5more,4,med,med,UNACC
vhigh,vhigh,4,more,big,low,unacc
VHIGH,low,4,4,med,LOW,unacc
MED,VHIGH,3,4,SMALL,MED,unacc
med,low,4,4,small,low,unacc
,,0,,0,,
MED,LOW,5MORE,more,small,high,GOOD
high,vhigh,2,more,BIG,med,unacc
med,vhigh,5more,2,small,med,unacc
vhigh,LOW,3,4,small,low,unacc
med,MED,2,more,med,low,unacc
NaN,NaN,0,NaN,,,0
vhigh,vhigh,2,more,big,low,unacc
VHIGH,vhigh,5MORE,2,med,high,unacc
MED,MED,3,4,small,low,unacc
high,vhigh,3,2,big,low,UNACC
low,med,3,4,SMALL,MED,acc
high,low,3,more,med,med,ACC
0,,NaN,0,NaN,,NaN
vhigh,high,4,more,big,med,unacc
vhigh,low,2,2,big,low,unacc
,,0,,0,,NaN
,,,,,,
med,low,3,4,small,low,unacc
MED,high,3,MORE,small,high,ACC
high,MED,5more,MORE,SMALL,high,ACC
vhigh,med,2,4,BIG,high,ACC
vhigh,low,2,4,med,high,ACC
med,high,2,more,med,high,acc
MED,med,4,4,BIG,MED,acc
high,high,4,2,med,low,unacc
vhigh,low,3,4,small,MED,unacc
LOW,med,2,4,big,med,GOOD
low,MED,4,MORE,SMALL,low,unacc
med,med,4,2,MED,med,unacc
med,VHIGH,5more,2,big,high,unacc
med,high,4,4,med,high,acc
vhigh,low,4,4,med,med,ACC
high,vhigh,2,4,SMALL,high,UNACC
high,med,3,4,BIG,med,acc
0,0,0,NaN,NaN,,
MED,vhigh,5MORE,2,big,LOW,unacc
low,low,2,4,small,high,good
low,med,5more,more,big,med,good
med,MED,4,2,BIG,med,UNACC
med,low,5more,2,med,LOW,UNACC
,,,,,,
vhigh,high,4,more,med,low,unacc
,,,,,,
med,VHIGH,3,4,big,low,unacc
VHIGH,low,4,2,big,med,unacc
,,,,,,
med,med,4,2,SMALL,HIGH,unacc
HIGH,high,2,4,big,low,unacc
MED,vhigh,4,more,small,high,acc
,,,,,,
low,vhigh,2,more,small,high,UNACC
VHIGH,high,4,2,BIG,high,unacc
med,low,4,more,med,MED,GOOD
low,high,3,2,MED,low,unacc
high,vhigh,4,2,med,med,unacc
high,MED,4,4,small,low,UNACC
low,low,5more,4,BIG,high,VGOOD
low,low,5MORE,more,MED,high,vgood
low,vhigh,3,2,med,high,unacc
,,,,,,
NaN,0,,,0,0,NaN
high,LOW,2,more,small,low,UNACC
med,vhigh,2,2,MED,high,unacc
vhigh,LOW,2,4,BIG,high,ACC
low,vhigh,4,4,small,LOW,UNACC
med,med,5MORE,2,big,high,unacc
low,high,2,4,big,low,unacc
vhigh,vhigh,2,4,small,high,unacc
,,,,,,
vhigh,VHIGH,5more,4,big,high,UNACC
high,med,5MORE,4,BIG,med,acc
vhigh,MED,5more,4,med,HIGH,acc
med,med,3,more,med,med,acc
vhigh,med,5more,MORE,big,med,acc
VHIGH,low,2,more,med,low,unacc
low,VHIGH,3,2,big,high,unacc
LOW,low,5more,4,med,HIGH,vgood
MED,high,4,4,MED,med,acc
VHIGH,low,4,2,small,MED,UNACC
med,vhigh,3,more,big,LOW,unacc
low,high,4,more,med,med,ACC
med,low,4,4,med,MED,good
high,med,2,more,BIG,low,unacc
vhigh,LOW,4,more,small,low,unacc
med,high,4,more,small,med,UNACC
low,MED,4,MORE,small,high,good
MED,VHIGH,5more,4,big,med,acc
med,high,4,2,med,high,unacc
,NaN,0,NaN,,NaN,
,,0,,0,,0
HIGH,low,2,more,med,high,ACC
med,high,5more,2,small,high,unacc
low,med,5more,4,small,low,unacc
med,HIGH,5more,more,big,HIGH,acc
high,high,4,4,small,med,unacc
VHIGH,high,4,4,BIG,high,unacc
low,HIGH,5more,4,MED,high,vgood
low,low,4,2,med,med,UNACC
med,vhigh,4,2,med,HIGH,unacc
low,high,2,2,med,LOW,unacc
high,vhigh,5MORE,2,MED,LOW,unacc
low,MED,2,more,med,high,good
high,MED,5MORE,MORE,small,low,UNACC
high,low,3,4,MED,high,acc
,0,,,NaN,NaN,0
vhigh,HIGH,4,4,med,high,unacc
,0,NaN,0,0,,0
LOW,LOW,2,more,small,med,unacc
low,low,5MORE,more,big,high,vgood
high,low,3,more,med,LOW,unacc
low,vhigh,2,2,big,low,unacc
LOW,low,4,4,BIG,high,vgood
NaN,0,NaN,,0,NaN,
MED,low,4,2,small,low,UNACC
high,med,5MORE,2,small,med,unacc
high,HIGH,4,more,SMALL,high,acc
high,med,4,4,med,low,unacc
NaN,,0,NaN,0,0,
vhigh,med,2,more,big,high,acc
0,0,NaN,0,,0,
vhigh,high,5more,more,med,med,UNACC
vhigh,high,3,4,big,low,unacc
0,,0,NaN,0,NaN,0
MED,med,2,4,SMALL,HIGH,acc
vhigh,high,2,4,small,high,unacc
vhigh,MED,4,4,small,high,acc
LOW,high,4,4,big,high,vgood
MED,VHIGH,3,4,SMALL,MED,unacc
vhigh,vhigh,5more,MORE,SMALL,LOW,unacc
HIGH,low,5more,2,big,med,unacc
high,low,5more,4,BIG,med,acc
low,med,3,2,MED,med,unacc
vhigh,high,3,2,med,low,unacc
low,med,4,4,med,MED,GOOD
low,low,3,2,MED,med,unacc
med,low,5MORE,2,small,low,unacc
high,low,2,4,med,high,acc
low,vhigh,2,2,small,LOW,UNACC
med,vhigh,2,2,small,high,unacc
HIGH,med,5more,4,big,HIGH,acc
med,LOW,5more,more,med,med,good
vhigh,VHIGH,2,MORE,big,high,UNACC
LOW,vhigh,5more,2,big,high,UNACC
high,VHIGH,3,more,BIG,high,unacc
vhigh,vhigh,4,2,small,med,unacc
LOW,med,5more,MORE,big,LOW,unacc
high,low,3,MORE,BIG,high,acc
med,med,4,more,med,LOW,UNACC
vhigh,low,2,more,BIG,high,acc
LOW,MED,5MORE,more,small,LOW,unacc
HIGH,low,2,more,med,high,ACC
low,med,4,more,med,med,GOOD
,,,,,,
NaN,NaN,,0,NaN,0,NaN
low,low,4,4,med,med,good
low,high,5more,4,med,med,acc
low,high,2,4,big,HIGH,vgood
MED,med,5more,2,med,high,unacc
LOW,high,2,4,med,med,acc
vhigh,high,3,4,med,med,unacc
low,HIGH,5MORE,more,big,high,VGOOD
high,med,2,2,BIG,med,unacc
high,high,4,4,small,low,unacc
,,,,,,
high,LOW,5more,4,SMALL,high,acc
LOW,high,5more,more,MED,med,acc
high,low,5MORE,MORE,big,LOW,unacc
high,med,3,4,SMALL,high,acc
low,high,2,more,small,HIGH,unacc
HIGH,high,4,more,MED,high,acc
high,MED,2,4,small,low,unacc
med,vhigh,3,more,SMALL,med,unacc
high,med,2,2,big,HIGH,unacc
high,vhigh,5more,2,SMALL,LOW,unacc
low,MED,2,more,med,high,good
HIGH,MED,3,MORE,small,med,unacc
low,vhigh,4,4,med,MED,acc
low,vhigh,2,MORE,small,LOW,UNACC
low,vhigh,3,more,big,high,ACC
vhigh,vhigh,4,4,small,MED,UNACC
med,vhigh,4,4,small,med,unacc
VHIGH,LOW,5more,4,big,low,unacc
low,low,3,2,small,low,unacc
VHIGH,HIGH,5more,4,big,LOW,unacc
med,LOW,4,2,big,med,unacc
high,high,3,more,big,high,acc
low,high,2,2,small,low,UNACC
med,high,5MORE,2,small,LOW,unacc
,,,,,,
med,HIGH,3,4,med,LOW,unacc
med,med,5more,2,small,HIGH,unacc
low,med,2,2,small,LOW,unacc
vhigh,med,5more,more,med,MED,acc
VHIGH,VHIGH,5MORE,4,med,high,unacc
0,NaN,,NaN,,0,
NaN,NaN,NaN,,,,
med,low,5MORE,4,small,high,good
high,med,4,4,BIG,high,acc
med,low,3,2,med,high,unacc
med,VHIGH,3,4,big,low,unacc
HIGH,high,2,4,big,high,acc
med,VHIGH,2,2,BIG,high,unacc
0,NaN,,0,,0,
med,LOW,3,2,med,LOW,unacc
VHIGH,HIGH,2,more,big,HIGH,unacc
VHIGH,vhigh,3,4,BIG,high,unacc
LOW,vhigh,2,4,med,high,acc
high,HIGH,5more,4,small,med,unacc
low,MED,4,more,big,med,good
MED,VHIGH,3,more,SMALL,high,acc
vhigh,low,5more,2,MED,high,unacc
vhigh,vhigh,5more,more,big,high,unacc
med,vhigh,2,4,BIG,HIGH,acc
HIGH,MED,2,more,MED,med,unacc
med,MED,2,more,small,HIGH,unacc
high,med,5more,MORE,big,high,ACC
MED,vhigh,5MORE,4,small,med,unacc
vhigh,vhigh,5more,2,big,low,unacc
HIGH,vhigh,5more,2,med,med,unacc
LOW,med,5MORE,4,med,LOW,unacc
,,,,,,
low,med,2,2,small,LOW,unacc
VHIGH,high,3,2,big,med,unacc
,NaN,,NaN,,NaN,NaN
low,med,5more,4,big,low,unacc
HIGH,high,3,2,big,low,UNACC
high,low,4,4,big,high,acc
low,high,4,2,big,med,unacc
VHIGH,VHIGH,2,4,big,low,UNACC
VHIGH,med,4,4,med,med,acc
low,vhigh,4,2,med,med,unacc
HIGH,HIGH,3,2,med,med,unacc
NaN,,NaN,0,0,NaN,NaN
NaN,0,,,NaN,,
0,,,NaN,NaN,0,NaN
high,high,2,4,small,LOW,unacc
high,LOW,5more,more,med,low,UNACC
vhigh,low,3,more,med,low,UNACC
MED,med,5more,4,med,high,vgood
low,vhigh,5more,2,med,high,unacc
low,LOW,2,2,med,low,unacc
vhigh,MED,4,2,med,high,UNACC
med,high,3,MORE,big,LOW,unacc
LOW,med,5more,4,MED,med,good
vhigh,vhigh,4,4,med,MED,unacc
,0,,NaN,NaN,,NaN
HIGH,high,2,4,med,high,acc
vhigh,high,5more,4,SMALL,MED,unacc
HIGH,VHIGH,4,MORE,small,HIGH,unacc
VHIGH,vhigh,4,2,BIG,med,unacc
LOW,low,3,2,small,med,unacc
vhigh,low,3,more,big,low,UNACC
VHIGH,high,5MORE,4,big,med,unacc
vhigh,high,2,4,MED,high,UNACC
HIGH,vhigh,4,4,MED,low,unacc
med,vhigh,5more,4,big,HIGH,ACC
med,HIGH,4,more,big,low,unacc
LOW,high,2,4,small,low,unacc
VHIGH,low,4,2,small,high,UNACC
med,vhigh,2,4,med,high,ACC
high,high,2,more,big,low,unacc
,,,,,,
med,high,5more,more,SMALL,low,unacc
0,,NaN,,,0,NaN
,,,,,,
med,vhigh,4,more,big,HIGH,acc
med,med,3,4,med,high,acc
HIGH,VHIGH,3,4,SMALL,med,UNACC
vhigh,med,5more,2,med,HIGH,unacc
MED,high,2,2,MED,HIGH,unacc
high,low,5more,2,med,LOW,unacc
med,low,4,4,small,low,unacc
high,HIGH,5more,4,small,med,unacc
med,med,3,4,BIG,med,acc
med,vhigh,2,2,BIG,low,unacc
med,HIGH,2,more,big,high,acc
vhigh,VHIGH,2,more,big,med,unacc
MED,VHIGH,4,4,small,HIGH,acc
low,med,4,2,BIG,low,UNACC
high,med,5more,more,MED,med,acc
,0,0,,NaN,,
high,high,4,2,SMALL,low,unacc
VHIGH,high,2,2,MED,LOW,unacc
vhigh,MED,5more,4,BIG,low,unacc
med,low,2,4,BIG,med,good
vhigh,vhigh,3,2,MED,high,UNACC
high,vhigh,2,2,small,low,unacc
LOW,low,5more,2,big,MED,UNACC
0,NaN,,,NaN,NaN,0
high,low,3,2,med,low,unacc
low,high,2,2,med,MED,unacc
0,,NaN,0,0,NaN,0
high,high,2,2,med,high,unacc
vhigh,VHIGH,3,4,med,HIGH,unacc
LOW,low,4,4,BIG,high,vgood
med,med,3,4,small,HIGH,acc
med,med,2,more,med,med,ACC
vhigh,vhigh,2,2,big,MED,unacc
vhigh,med,5more,4,small,LOW,unacc
high,VHIGH,4,4,small,high,UNACC
VHIGH,LOW,3,more,SMALL,med,unacc
,,,,,,
low,vhigh,3,4,big,med,acc
med,low,5MORE,2,big,high,unacc
high,vhigh,5more,4,BIG,med,unacc
LOW,vhigh,2,more,SMALL,med,unacc
,NaN,0,NaN,0,NaN,NaN
VHIGH,high,5more,4,small,high,unacc
med,MED,4,4,med,high,vgood
,,,,,,
,,,,NaN,,
med,med,3,more,MED,HIGH,vgood
MED,low,3,2,med,med,unacc
med,med,2,4,small,low,unacc
,0,NaN,,NaN,,
low,MED,4,4,SMALL,LOW,unacc
low,high,2,more,BIG,HIGH,vgood
high,low,2,4,small,low,unacc
med,low,2,2,big,med,unacc
med,vhigh,3,4,med,MED,UNACC
med,high,4,2,small,med,unacc
high,med,3,4,med,med,UNACC
high,low,4,4,small,low,unacc
med,MED,4,more,MED,med,acc
low,med,4,2,small,low,unacc
LOW,low,3,4,med,high,good
vhigh,low,5more,2,small,LOW,UNACC
,,0,,,NaN,0
med,low,3,more,big,low,unacc
med,low,2,4,med,low,unacc
med,HIGH,2,more,small,med,unacc
low,VHIGH,5more,more,big,low,unacc
VHIGH,med,4,2,SMALL,med,unacc
vhigh,VHIGH,5more,MORE,MED,med,UNACC
high,low,5more,2,small,HIGH,unacc
,,,,,,
vhigh,med,2,2,big,high,unacc
vhigh,low,4,4,med,high,acc
med,vhigh,5more,more,big,low,unacc
,,,,,,
MED,low,3,4,small,MED,ACC
med,low,3,4,small,high,good
med,med,5more,2,med,MED,unacc
vhigh,high,2,more,small,med,UNACC
high,med,4,2,small,low,unacc
0,NaN,NaN,NaN,NaN,0,0
vhigh,MED,3,more,med,high,acc
low,high,4,more,small,high,acc
vhigh,VHIGH,5more,more,small,MED,UNACC
med,vhigh,4,more,big,low,unacc
NaN,0,NaN,,0,NaN,0
vhigh,vhigh,3,2,BIG,med,unacc
vhigh,vhigh,5more,more,big,low,UNACC
vhigh,MED,4,4,med,low,UNACC
LOW,vhigh,2,2,MED,med,UNACC
MED,low,3,4,med,MED,ACC
HIGH,VHIGH,5more,more,small,MED,unacc
VHIGH,low,2,more,big,low,UNACC
high,high,5more,2,big,high,unacc
low,VHIGH,2,4,BIG,med,ACC
VHIGH,high,4,2,small,med,unacc
vhigh,vhigh,4,2,small,med,unacc
0,,0,,0,0,0
low,VHIGH,5MORE,2,small,low,unacc
vhigh,low,2,2,med,LOW,unacc
vhigh,VHIGH,4,more,med,HIGH,unacc
LOW,med,2,MORE,small,low,UNACC
0,,NaN,0,NaN,NaN,
med,low,5more,4,big,high,vgood
med,high,5more,more,big,low,unacc
,,,,,,
med,MED,4,4,SMALL,LOW,unacc
,,,,,,
vhigh,high,4,more,med,med,unacc
high,vhigh,3,more,big,low,unacc
med,vhigh,2,2,MED,high,unacc
high,LOW,5more,4,small,low,unacc
high,high,2,4,med,low,unacc
vhigh,med,3,4,big,low,UNACC
med,high,2,more,med,MED,unacc
high,med,2,4,small,HIGH,acc
med,HIGH,2,2,big,LOW,UNACC
low,vhigh,3,2,big,LOW,unacc
,,,,,,
med,MED,2,2,big,med,unacc
low,vhigh,5MORE,4,small,low,UNACC
HIGH,LOW,5more,4,med,LOW,UNACC
high,VHIGH,2,4,med,MED,UNACC
HIGH,LOW,2,2,BIG,high,unacc
med,vhigh,2,more,med,MED,unacc
med,med,5more,more,med,med,acc
med,vhigh,3,2,small,high,UNACC
,,,,,,
low,vhigh,3,4,big,low,unacc
MED,vhigh,4,2,big,low,unacc
vhigh,med,3,more,med,med,acc
HIGH,vhigh,4,MORE,med,med,UNACC
low,vhigh,2,more,med,LOW,unacc
med,med,3,MORE,small,MED,acc
high,vhigh,3,more,med,MED,unacc
vhigh,VHIGH,4,MORE,med,low,unacc
,,,,,,
low,vhigh,2,2,BIG,high,unacc
med,med,3,2,med,low,unacc
,,,,,,
NaN,NaN,,,NaN,,NaN
vhigh,med,5MORE,more,med,HIGH,ACC
high,low,3,more,BIG,low,unacc
med,high,2,2,BIG,high,unacc
HIGH,HIGH,5MORE,4,small,low,unacc
VHIGH,LOW,3,4,big,low,unacc
low,low,3,MORE,BIG,high,vgood
med,low,3,2,big,high,unacc
med,high,5more,2,MED,MED,UNACC
vhigh,vhigh,3,2,MED,low,unacc
